run,feature,p_value,drift
clean,emb_0,0.5594706535339355,False
clean,emb_1,0.7301925420761108,False
clean,emb_2,0.634386420249939,False
clean,emb_3,0.1530044972896576,False
clean,emb_4,0.4939199388027191,False
clean,emb_5,0.30324795842170715,False
clean,emb_6,0.4875545799732208,False
clean,emb_7,0.5796916484832764,False
clean,emb_8,0.5729286074638367,False
clean,emb_9,0.7763998508453369,False
clean,emb_10,0.661926805973053,False
clean,emb_11,0.2582998275756836,False
clean,emb_12,0.7502270936965942,False
clean,emb_13,0.9420406818389893,False
clean,emb_14,0.09628258645534515,False
clean,emb_15,0.34814316034317017,False
clean,emb_16,0.8866878151893616,False
clean,emb_17,0.5132392644882202,False
clean,emb_18,0.9824614524841309,False
clean,emb_19,0.5864752531051636,False
clean,emb_20,0.6000972390174866,False
clean,emb_21,0.402900367975235,False
clean,emb_22,0.7369035482406616,False
clean,emb_23,0.2938438355922699,False
clean,emb_24,0.7234525084495544,False
clean,emb_25,0.20035627484321594,False
clean,emb_26,0.8261843919754028,False
clean,emb_27,0.19345401227474213,False
clean,emb_28,0.11065202951431274,False
clean,emb_29,0.7568339109420776,False
clean,emb_30,0.9824614524841309,False
clean,emb_31,0.849412739276886,False
clean,emb_32,0.6756855845451355,False
clean,emb_33,0.7369035482406616,False
clean,emb_34,0.09436281770467758,False
clean,emb_35,0.3586895167827606,False
clean,emb_36,0.38594651222229004,False
clean,emb_37,0.2938438355922699,False
clean,emb_38,0.11284254491329193,False
clean,emb_39,0.7166861295700073,False
clean,emb_40,0.634386420249939,False
clean,emb_41,0.807982861995697,False
clean,emb_42,0.05956802889704704,False
clean,emb_43,0.9348169565200806,False
clean,emb_44,0.11506868153810501,False
clean,emb_45,0.43212199211120605,False
clean,emb_46,0.46869558095932007,False
clean,emb_47,0.661926805973053,False
clean,emb_48,0.402900367975235,False
clean,emb_49,0.7955216765403748,False
clean,weight,0.0,True
brightness,emb_0,2.3881127630964727e-10,True
brightness,emb_1,0.0003969197568949312,True
brightness,emb_2,2.5221670512109995e-05,True
brightness,emb_3,1.0348262524662033e-10,True
brightness,emb_4,2.5225859903543387e-20,True
brightness,emb_5,2.0397416998141846e-19,True
brightness,emb_6,8.640179907258225e-15,True
brightness,emb_7,1.0896471849264344e-06,True
brightness,emb_8,7.56309789372734e-15,True
brightness,emb_9,1.4042369006724028e-24,True
brightness,emb_10,1.5316829748979188e-10,True
brightness,emb_11,0.00011702922347467393,True
brightness,emb_12,4.461522432963952e-14,True
brightness,emb_13,1.0151309652428608e-05,True
brightness,emb_14,9.693122748899441e-09,True
brightness,emb_15,0.0011286636581644416,True
brightness,emb_16,1.5756882930872962e-05,True
brightness,emb_17,0.0005017898511141539,True
brightness,emb_18,0.00028234635828994215,True
